pc,S.N.,name,party,EVM Votes,Postal Votes,Votes_Total,% of Votes
CHENNAI SOUTH,26,V.P.SURESH,Independent,288,1,289,0.03
CHENNAI SOUTH,27,E.RAMESH,Independent,270,-,270,0.02
CHENNAI SOUTH,28,R.BALAJI,Independent,264,-,264,0.02
CHENNAI SOUTH,29,DINESH KUMAR. B,Independent,253,-,253,0.02
CHENNAI SOUTH,30,A.BABU,Independent,246,-,246,0.02
CHENNAI SOUTH,31,DAYALAN. R,Independent,241,1,242,0.02
CHENNAI SOUTH,32,VIJIRATHINAM. M,Independent,237,-,237,0.02
CHENNAI SOUTH,33,V.SIVAKUMAR,Independent,217,-,217,0.02
CHENNAI SOUTH,34,MURUGAN. P,Independent,182,-,182,0.02
CHENNAI SOUTH,35,G.RAMESHBABU,Independent,178,1,179,0.02
CHENNAI SOUTH,36,S.RAJASEKARAN,Independent,177,1,178,0.02
CHENNAI SOUTH,37,N.NARAYANASWAMY,Independent,175,-,175,0.02
CHENNAI SOUTH,38,R.DEVENDRAN,Independent,167,1,168,0.02
CHENNAI SOUTH,39,PARTHIBAN. S,Independent,165,1,166,0.02
CHENNAI SOUTH,40,I. DAVIDSINGH,Independent,150,1,151,0.01
CHENNAI SOUTH,41,E RAVENDRAN,Independent,114,-,114,0.01
CHENNAI SOUTH,42,NOTA,None of the Above,15607,46,15653,1.42
CHENNAI CENTRAL,1,DAYANIDHI MARAN,DMK,412286,1562,413848,56.65
CHENNAI CENTRAL,2,VINOJ,BJP,168059,1100,169159,23.16
CHENNAI CENTRAL,3,B. PARTHASARATHY,DMDK,71772,244,72016,9.86
CHENNAI CENTRAL,4,DR.R.KARTHIKEYAN,Naam Tamilar,45865,166,46031,6.3
CHENNAI CENTRAL,5,ANBAZHAGAN.G,Independent,3175,11,3186,0.44
CHENNAI CENTRAL,6,DILAVAR ALI,Tipu Sultan Party,2536,10,2546,0.35
CHENNAI CENTRAL,7,SAMARAN,Bahujan Samaj Party,2132,15,2147,0.29
CHENNAI CENTRAL,8,L.KASINATHAN,Independent,1059,1,1060,0.15
CHENNAI CENTRAL,9,AGNI AALVAR,Independent,783,4,787,0.11
CHENNAI CENTRAL,10,C.S.KARNAN,Anti Corruption Dynamic Party,750,11,761,0.1
CHENNAI CENTRAL,11,M.L.RAVI,Desiya Makkal Sakthi Katchi,690,6,696,0.1
CHENNAI CENTRAL,12,S.KANDASAMY,Independent,595,1,596,0.08
CHENNAI CENTRAL,13,DHAYANIDHI SURESH,Independent,565,2,567,0.08
CHENNAI CENTRAL,14,S.SATHISH KUMAR,Independent,526,1,527,0.07
CHENNAI CENTRAL,15,P.ARJUNAN,Independent,502,7,509,0.07
CHENNAI CENTRAL,16,S.SATHISH KUMAR,Independent,500,1,501,0.07
CHENNAI CENTRAL,17,G.OMPRAKASH,Independent,486,2,488,0.07
CHENNAI CENTRAL,18,V.V.TAMILARASAN,Independent,386,3,389,0.05
CHENNAI CENTRAL,19,UDAYA KUMAR.V,Independent,382,-,382,0.05
CHENNAI CENTRAL,20,B.PARTHASARATHY,Independent,377,3,380,0.05
CHENNAI CENTRAL,21,K.CHANDRASEKAR,Naadaalum Makkal Katchi,373,-,373,0.05
CHENNAI CENTRAL,22,N.RAMAN,Tamilnadu Makkal Nalvazhvu Periyakkam,311,3,314,0.04
CHENNAI CENTRAL,23,R.MINNAL RAJ,Independent,310,-,310,0.04
CHENNAI CENTRAL,24,R.VIJAY,Independent,268,-,268,0.04
CHENNAI CENTRAL,25,A.SELVA KUMAR,Thakkam Katchi,265,5,270,0.04
CHENNAI CENTRAL,26,M.NAGARAJ,Independent,254,-,254,0.03
CHENNAI CENTRAL,27,J.NAGARAJ,Independent,238,3,241,0.03
CHENNAI CENTRAL,28,SENTHILKUMAR,Chennai Youth Party,222,1,223,0.03
CHENNAI CENTRAL,29,RANJITHKUMAR.S,Independent,215,-,215,0.03
CHENNAI CENTRAL,30,RAVI BALARAMAN,Independent,182,1,183,0.03
CHENNAI CENTRAL,31,MANJUNATHA.R,Independent,159,-,159,0.02
CHENNAI CENTRAL,32,NOTA,None of the Above,11082,81,11163,1.53
SRIPERUMBUDUR,1,T R BAALU,DMK,755671,2940,758611,52.65
SRIPERUMBUDUR,2,G PREMKUMAR,AIADMK,270549,1033,271582,18.85
SRIPERUMBUDUR,3,V N VENUGOPAL,TMC (Moopanar),209183,927,210110,14.58
SRIPERUMBUDUR,4,V RAVICHANDRAN,Naam Tamilar,139931,302,140233,9.73
SRIPERUMBUDUR,5,K PRABAKARAN,Bahujan Samaj Party,8115,74,8189,0.57
SRIPERUMBUDUR,6,M S ARUMUGAM,Independent,3695,4,3699,0.26
SRIPERUMBUDUR,7,V SUDHAVALLI,Aravor Munnetra Kazhagam,3659,35,3694,0.26
SRIPERUMBUDUR,8,S AMBETHKUMAR,Mahathma Makkal Munnetra Kazhakam,2211,9,2220,0.15
SRIPERUMBUDUR,9,M ASHOK KUMAR,Independent,1696,8,1704,0.12
SRIPERUMBUDUR,10,S SIVAKUMAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1349,3,1352,0.09
SRIPERUMBUDUR,11,AYODHI LAKSHMANAN,Independent,1255,4,1259,0.09
SRIPERUMBUDUR,12,S CHITTIBABU,Naadaalum Makkal Katchi,1238,3,1241,0.09
SRIPERUMBUDUR,13,C ARAVIND,Desiya Makkal Sakthi Katchi,959,11,970,0.07
SRIPERUMBUDUR,14,GOPI DEEPAK,Independent,878,5,883,0.06
SRIPERUMBUDUR,15,KARTHIK KUMAR P C,Independent,866,1,867,0.06
SRIPERUMBUDUR,16,J MOHANRAJ,Jebamani Janata,817,5,822,0.06
SRIPERUMBUDUR,17,DR S PRAVEEN,Independent,791,8,799,0.06
SRIPERUMBUDUR,18,I MOHAMED YASEEN,Thakkam Katchi,668,1,669,0.05
SRIPERUMBUDUR,19,K PALANIYAPPAN,Tamizhaga Murpokku Makkal Katchi,613,4,617,0.04
SRIPERUMBUDUR,20,S PRABHU,Independent,513,1,514,0.04
SRIPERUMBUDUR,21,P BASKARAN,Independent,493,1,494,0.03
SRIPERUMBUDUR,22,P HARIDAS,Independent,458,2,460,0.03
SRIPERUMBUDUR,23,C A JAYARAMAN,Independent,445,2,447,0.03
SRIPERUMBUDUR,24,G RAMKUMAR,Independent,426,-,426,0.03
SRIPERUMBUDUR,25,N MANIKKAM,Independent,402,1,403,0.03
SRIPERUMBUDUR,26,M PREMKUMAR,Independent,393,1,394,0.03
SRIPERUMBUDUR,27,S MUNIKUMAR,Samaniya Makkal Nala Katchi,393,1,394,0.03
SRIPERUMBUDUR,28,M SARAVANAN,Independent,385,-,385,0.03
SRIPERUMBUDUR,29,A JINNA MOHAMMED,Independent,382,6,388,0.03
SRIPERUMBUDUR,30,S SIVARAMAN,Independent,340,3,343,0.02
SRIPERUMBUDUR,31,C PREMKUMAR,Independent,313,3,316,0.02
SRIPERUMBUDUR,32,NOTA,None of the Above,26294,156,26450,1.84
KANCHEEPURAM,1,SELVAM. G,DMK,582978,3066,586044,46.53
KANCHEEPURAM,2,RAJASEKAR. E,AIADMK,362991,1580,364571,28.94
KANCHEEPURAM,3,JOTHI. V,Pattali Makkal Katchi,163792,1139,164931,13.09
KANCHEEPURAM,4,SANTHOSH KUMAR. V,Naam Tamilar,109858,414,110272,8.75
KANCHEEPURAM,5,ILAYARAJA. S,Bahujan Samaj Party,5243,21,5264,0.42
KANCHEEPURAM,6,VENKATESAN. K,Independent,2798,9,2807,0.22
KANCHEEPURAM,7,NARESH BHARATHI. S,Independent,2499,12,2511,0.2
KANCHEEPURAM,8,ELANGOVAN. M,Independent,1874,7,1881,0.15
KANCHEEPURAM,9,SURYA. A,Independent,1673,29,1702,0.14
KANCHEEPURAM,10,RAMESH. S,Independent,1317,1,1318,0.1
KANCHEEPURAM,11,SELVAM. T,Independent,1295,17,1312,0.1
KANCHEEPURAM,12,NOTA,None of the Above,16811,154,16965,1.35
ARAKKONAM,1,S JAGATHRATCHAKAN,DMK,560578,2638,563216,48.39
ARAKKONAM,2,L VIJAYAN,AIADMK,255343,1314,256657,22.05
ARAKKONAM,3,K BALU,Pattali Makkal Katchi,200614,1711,202325,17.38
ARAKKONAM,4,S AFSHIA NASRIN,Naam Tamilar,97985,959,98944,8.5
ARAKKONAM,5,D PANDIYAN,Bahujan Samaj Party,6135,77,6212,0.53
ARAKKONAM,6,A PALANI,Independent,3855,11,3866,0.33
ARAKKONAM,7,K MANIGANDAN,Independent,2045,4,2049,0.18
ARAKKONAM,8,INDU W,Tamil Manila Murpokku Dravida Kazhagam,1872,66,1938,0.17
ARAKKONAM,9,DR A V NARENDRAN,Independent,1711,11,1722,0.15
ARAKKONAM,10,M VIJAYAN,Independent,1674,4,1678,0.14
ARAKKONAM,11,M BALU,Independent,1557,4,1561,0.13
ARAKKONAM,12,SHETTU S,Independent,1556,5,1561,0.13
ARAKKONAM,13,V BABU,United Republican Party of India,1351,15,1366,0.12
ARAKKONAM,14,M THULASIRAMAN,Independent,1046,7,1053,0.09
ARAKKONAM,15,D JANAKIRAMAN,Independent,831,6,837,0.07
ARAKKONAM,16,S SURESH KUMAR,Independent,828,7,835,0.07
ARAKKONAM,17,R VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,819,2,821,0.07
ARAKKONAM,18,V VINAYAGAM,Independent,727,2,729,0.06
ARAKKONAM,19,VIJAYAN K,All India Jananayaka Makkal Kazhagam,624,9,633,0.05
ARAKKONAM,20,SHANAVAS J,Independent,580,3,583,0.05
ARAKKONAM,21,V KRISHNANANDAN,Anna MGR Dravida Makkal Kalgam,568,14,582,0.05
ARAKKONAM,22,A JAYACHANDRAN,Independent,534,4,538,0.05
ARAKKONAM,23,N SUGUMAR,Independent,424,8,432,0.04
ARAKKONAM,24,M VIJAY,Independent,416,11,427,0.04
ARAKKONAM,25,G SUDHAKAR,Independent,367,13,380,0.03
ARAKKONAM,26,K VENKATESAN,Independent,261,3,264,0.02
ARAKKONAM,27,NOTA,None of the Above,12423,190,12613,1.08
VELLORE,1,DM KATHIR ANAND,DMK,566435,2257,568692,50.35
VELLORE,2,AC SHANMUGAM,BJP,350956,2034,352990,31.25
VELLORE,3,DR S PASUPATHI,AIADMK,116964,718,117682,10.42
VELLORE,4,D MAHESH ANAND,Naam Tamilar,52707,577,53284,4.72
VELLORE,5,A NATARAJAN,Bharatiya Praja Aikyata Party,3982,23,4005,0.35
VELLORE,6,SHANMUGAVELU,Independent,3570,6,3576,0.32
VELLORE,7,MANSOOR ALI KHAN,Independent,2769,35,2804,0.25
VELLORE,8,SYED ALI D,Independent,2121,3,2124,0.19
VELLORE,9,P SHANMUGAM,Independent,2037,2,2039,0.18
VELLORE,10,NAGARAJ P,Independent,1948,11,1959,0.17
VELLORE,11,K JAYAMANI,Bahujan Samaj Party,1684,18,1702,0.15
VELLORE,12,D SARAVANAN,Independent,1497,-,1497,0.13
VELLORE,13,MP SHANMUGAM,Independent,859,9,868,0.08
VELLORE,14,N SIVAKUMAR,Independent,701,-,701,0.06
VELLORE,15,AFROSE,Independent,672,1,673,0.06
VELLORE,16,A BEEMARAO MILINTHAR,United Republican Party of India,667,3,670,0.06
VELLORE,17,DR S JAYARAJ,Independent,659,2,661,0.06
VELLORE,18,K SHANMUGAM,Independent,601,15,616,0.05
VELLORE,19,V KALIAPERUMAL,Ganasangam Party of India,594,6,600,0.05
VELLORE,20,G SHANMUGAM,Independent,560,12,572,0.05
VELLORE,21,PP JAYAPRAKASH,Independent,455,6,461,0.04
VELLORE,22,PASUPATHI,Independent,407,8,415,0.04
VELLORE,23,S WILLIAM SATHYARAJ,Tamil Manila Murpokku Dravida Kazhagam,373,4,377,0.03
VELLORE,24,M BABU,Independent,303,3,306,0.03
VELLORE,25,B JAGAN,Independent,282,3,285,0.03
VELLORE,26,AHMED RAASHID PALLIMIRA,Independent,271,2,273,0.02
VELLORE,27,SHANMUGASUNDARAM,Independent,250,1,251,0.02
VELLORE,28,C MADHAVAN,Independent,201,1,202,0.02
VELLORE,29,T JOHNSON,Independent,174,-,174,0.02
VELLORE,30,E RAJKUMAR,Independent,129,4,133,0.01
VELLORE,31,C RAMACHANDHIRAN,Independent,128,2,130,0.01
VELLORE,32,NOTA,None of the Above,8669,67,8736,0.77
KRISHNAGIRI,1,GOPINATH K,INC,491131,1752,492883,42.27
KRISHNAGIRI,2,JAYAPRAKASH V,AIADMK,299300,1097,300397,25.76
KRISHNAGIRI,3,NARASIMHAN C,BJP,212859,1266,214125,18.36
KRISHNAGIRI,4,VIDHYA RANI,Naam Tamilar,106260,823,107083,9.18
KRISHNAGIRI,5,ARUMUGAM M,Bharatiya Praja Aikyata Party,6118,36,6154,0.53
KRISHNAGIRI,6,DR.SHANMUGAM .A.R,Independent,5577,6,5583,0.48
KRISHNAGIRI,7,ESHWARAN C,Independent,4126,2,4128,0.35
KRISHNAGIRI,8,TAMILSELVAN S,Bahujan Samaj Party,3665,33,3698,0.32
KRISHNAGIRI,9,SWAMINATHAN T G,Aravor Munnetra Kazhagam,1969,9,1978,0.17
KRISHNAGIRI,10,MANI K,Chennai Youth Party,1964,8,1972,0.17
KRISHNAGIRI,11,SRINIVASAN K,Independent,1619,2,1621,0.14
KRISHNAGIRI,12,VENKATESHKUMAR M,Independent,1585,5,1590,0.14
KRISHNAGIRI,13,ALBERT FRANCIS XAVIER S,Independent,1422,1,1423,0.12
KRISHNAGIRI,14,SARAVANAKUMAR A,Independent,1163,6,1169,0.1
KRISHNAGIRI,15,ANAND KUMAR A,Independent,1157,3,1160,0.1
KRISHNAGIRI,16,SUBRAMANI M,Tamilar Makkal Katchi,1156,39,1195,0.1
KRISHNAGIRI,17,ANNADURAI K,Independent,1154,6,1160,0.1
KRISHNAGIRI,18,MAHARAJAN G,Independent,991,4,995,0.09
KRISHNAGIRI,19,JAGADHEESAN C,Viro Ke Vir Indian Party,897,3,900,0.08
KRISHNAGIRI,20,VIJAYAKUMAR K P,Anaithu India Makkal Katchi,891,46,937,0.08
KRISHNAGIRI,21,DEEKSHITH M,Karunaadu Party,817,7,824,0.07
KRISHNAGIRI,22,RAMESH A,Independent,816,3,819,0.07
KRISHNAGIRI,23,RAJESHWARI B.H.,Independent,793,6,799,0.07
KRISHNAGIRI,24,CHANDRAMOHAN K.M.,Independent,789,3,792,0.07
KRISHNAGIRI,25,DEVAPPA Y,Independent,717,7,724,0.06
KRISHNAGIRI,26,VEERASAMY C,Independent,656,4,660,0.06
KRISHNAGIRI,27,YUVARAJ K P U,Independent,402,3,405,0.03
KRISHNAGIRI,28,NOTA,None of the Above,10893,89,10982,0.94
DHARMAPURI,1,MANI. A.,DMK,429301,3366,432667,34.67
DHARMAPURI,2,SOWMIYA ANBUMANI,Pattali Makkal Katchi,408445,2922,411367,32.97
DHARMAPURI,3,ASOKAN. R. DR.,AIADMK,291590,2039,293629,23.53
DHARMAPURI,4,ABINAYA,Naam Tamilar,64576,805,65381,5.24
DHARMAPURI,5,THANGAVEL. K.,Dhesiya Makkal Kazhagam,7323,8,7331,0.59
DHARMAPURI,6,THIRUMURUGAN. P.,Independent,5668,3,5671,0.45
DHARMAPURI,7,HARI. R.,Bahujan Samaj Party,3128,38,3166,0.25
DHARMAPURI,8,SOWMIYA,Independent,3001,27,3028,0.24
DHARMAPURI,9,ELAYARANI. P.,Ganasangam Party of India,2301,14,2315,0.19
DHARMAPURI,10,ARUMUGAM. M.,Independent,2274,16,2290,0.18
DHARMAPURI,11,AGNI AALVAR,Independent,1643,8,1651,0.13
DHARMAPURI,12,PALANI. K.,Independent,1441,9,1450,0.12
DHARMAPURI,13,MANI. R.,Independent,1029,4,1033,0.08
DHARMAPURI,14,ASHOKAN. M.,Independent,1024,2,1026,0.08
DHARMAPURI,15,ALAGARASAN. R.,Independent,899,1,900,0.07
DHARMAPURI,16,SUNDHARAMOORTHY. M.,Independent,797,3,800,0.06
DHARMAPURI,17,MANI. C.,Independent,706,4,710,0.06
DHARMAPURI,18,PARTHASARATHI,Tamilar Makkal Katchi,698,11,709,0.06
DHARMAPURI,19,PADMARAJAN. K. DR.,Independent,649,8,657,0.05
DHARMAPURI,20,MANIVASAGAM. C.,Independent,648,3,651,0.05
DHARMAPURI,21,ASOKAN. G.,Independent,609,2,611,0.05
DHARMAPURI,22,AYYAKANNU,Independent,583,3,586,0.05
DHARMAPURI,23,JAGANATHAN. A.,Independent,551,2,553,0.04
DHARMAPURI,24,MANI. S.,Independent,451,1,452,0.04
DHARMAPURI,25,NOTA,None of the Above,9093,105,9198,0.74
TIRUVANNAMALAI,1,"ANNADURAI, C.N.",DMK,543857,3522,547379,47.75
TIRUVANNAMALAI,2,KALIYAPERUMAL M,AIADMK,311384,2064,313448,27.34
TIRUVANNAMALAI,3,"ASUVATHAMAN, A.",BJP,154736,1914,156650,13.67
TIRUVANNAMALAI,4,"RAMESHBABU,  R.",Naam Tamilar,83148,721,83869,7.32
TIRUVANNAMALAI,5,"KALIAPERUMAL, M.",Independent,5704,9,5713,0.5
TIRUVANNAMALAI,6,"BENNYRAJAN, C.J.",Bharatiya Praja Aikyata Party,4703,107,4810,0.42
TIRUVANNAMALAI,7,"KALIYAPERUMAL, A.",Independent,3402,5,3407,0.3
TIRUVANNAMALAI,8,"MOHANRAJA,  V.M.",Bahujan Samaj Party,2615,22,2637,0.23
TIRUVANNAMALAI,9,CAPTAIN GOWTHAM,Independent,1823,19,1842,0.16
TIRUVANNAMALAI,10,"UDHAYAKUMAR, P.S.",Independent,1246,5,1251,0.11
TIRUVANNAMALAI,11,"ANNADURAI, S.",Independent,1165,7,1172,0.1
TIRUVANNAMALAI,12,"KOTHANDABANI, B.",Independent,963,2,965,0.08
TIRUVANNAMALAI,13,"SELVAM , K.",Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,945,9,954,0.08
TIRUVANNAMALAI,14,"KALASTHIRI,  S.",All India Uzhavargal Uzhaippalargal Katchi,934,16,950,0.08
TIRUVANNAMALAI,15,"VIJAYAKUMAR,  S.",Independent,928,6,934,0.08
TIRUVANNAMALAI,16,"JAGANNATHAN,  R.",Independent,857,7,864,0.08
TIRUVANNAMALAI,17,"SENTHAMIL SELVAN,  M.",Independent,848,8,856,0.07
TIRUVANNAMALAI,18,"AGNI SELVARASU, J.",Naadaalum Makkal Katchi,759,18,777,0.07
TIRUVANNAMALAI,19,"SATHIYAMOORTHY,  S.",Makkal Nala Kazhagam,716,20,736,0.06
TIRUVANNAMALAI,20,"ANNADURAI, S.",Independent,642,6,648,0.06
TIRUVANNAMALAI,21,"SUB MAJOR SETTU, M.",Viro Ke Vir Indian Party,636,22,658,0.06
TIRUVANNAMALAI,22,"SANKAR,  S.",Independent,569,9,578,0.05
TIRUVANNAMALAI,23,"ANNADURAI, A.",Independent,482,34,516,0.05
TIRUVANNAMALAI,24,"NALLASIVAM, M.",Independent,426,3,429,0.04
TIRUVANNAMALAI,25,"PALANI , T.N.",Independent,413,1,414,0.04
TIRUVANNAMALAI,26,"POONGODY,  A.",Independent,412,5,417,0.04
TIRUVANNAMALAI,27,"VIMAL, V.",Independent,341,1,342,0.03
TIRUVANNAMALAI,28,"THANGARAJ,  P.",Independent,291,4,295,0.03
TIRUVANNAMALAI,29,"RAMESH , T.P.",Independent,280,1,281,0.02
TIRUVANNAMALAI,30,"NAKKEERAN ,  A.",Independent,260,5,265,0.02
TIRUVANNAMALAI,31,DEEPAMMAL SUNDARI,Independent,252,7,259,0.02
TIRUVANNAMALAI,32,NOTA,None of the Above,11527,430,11957,1.04
ARANI,1,THARANIVENTHAN M S,DMK,497083,3016,500099,43.86
ARANI,2,"GAJENDRAN, G.V.",AIADMK,289650,1683,291333,25.55
ARANI,3,DR GANESH KUMAR A ME PHD,Pattali Makkal Katchi,234538,2033,236571,20.75
ARANI,4,"BAKIYALAKSHMI, K.",Naam Tamilar,65981,759,66740,5.85
ARANI,5,"MANIGANDAN, V.",Independent,4787,21,4808,0.42
ARANI,6,"GANESH KUMAR, U.",Independent,3809,3,3812,0.33
ARANI,7,DURAI  M,Bahujan Samaj Party,3635,50,3685,0.32
ARANI,8,"GAJENDRAN, J.",Independent,3393,7,3400,0.3
ARANI,9,"KARVANNAN, K.",Independent,3032,4,3036,0.27
ARANI,10,"GAJENDIRAN, E.",Independent,2612,1,2613,0.23
ARANI,11,"KOTTAI VENKATESAN, M.",Independent,1893,15,1908,0.17
ARANI,12,"SENTHIL KUMAR, D.",Independent,1469,6,1475,0.13
ARANI,13,"SEKAR, N.",Independent,1397,3,1400,0.12
ARANI,14,SAKTHIVEL A,Thakkam Katchi,1174,12,1186,0.1
ARANI,15,"GANESH, P.",Independent,978,2,980,0.09
ARANI,16,NAGARAJAN P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,921,6,927,0.08
ARANI,17,CAPTAIN SETTU M,Viro Ke Vir Indian Party,881,41,922,0.08
ARANI,18,"JAISANKAR, M.",Independent,836,4,840,0.07
ARANI,19,EZHIL ARASU M,Independent,741,12,753,0.07
ARANI,20,BABU N,Independent,669,5,674,0.06
ARANI,21,"DURUGAN, M.",United Republican Party of India,596,8,604,0.05
ARANI,22,MOHMMAD SIDDIQ M H,Independent,525,3,528,0.05
